plate,customer_meaning,reviewer_comments,is_approved,state,plate_type
91ROLIN,"NOTHING REALLY, ITS WHAT I ENDED UP WITH.",ROLLIN COULD BE A DRUG TERM MEANING TO BE ROLLIN ON DRUGS,N,CA,Personalized
MY POOPR,NICKNAME FOR MY CAR,POOPER-SHIT,N,CA,Personalized
NOONR62,LAST NAME IS NUNES AND YEAR OF BIRTH IS 1962,NOONER=SEX,N,CA,Personalized
5 HIGH,BMW 5 SERIES,COULD BE DRUG REFERENCE,N,CA,Personalized
CARTL63,1963 IMPALA BUILT FROM MY BUSINESS CARTEL  CUSTOMS. WWW.CARTELCUSTOMS.COM,"SIMILAR TO CARTEL, DRUG REFERENCE",N,CA,Personalized
FS69,,"69, SEXUAL REFERENCE",N,CA,Personalized
PAJ1313,NICKNAME,13 = GANG NUMBER,N,CA,Personalized
LK13ESQ,"NAME INITIALS, FAVORIATE NUMBER AND ABBREVIATION FOR A PERSON WHO PRACTICES LAW.",13 GANG REFERENCE,N,CA,Personalized
FN PRFKT,,FUCKING PERFECT,N,CA,Personalized
FUKHLRY,MY NICK NAME SINCE I WAS A KID,FUCK HILLARY,N,CA,Personalized
MTN SCAT,MOUNTAIN SCAT PACK,SCAT SHIT,N,CA,Personalized
CHERI BB,MY GIRLFRIEND'S NICK NAME,CHERRY SLANG FOR VAGINA BB LOOKS LIKE 88,N,CA,Personalized
BITE ME2,DENTISTRY CHECKING BITE,BITE ME (BITEME IS RELEASED),N,CA,Personalized
DIE4HIM,IT MEANS TO NOT LIVE IN THE FLESH AND SIN. TO DIE TO SIN AND ALL THINGS THAT ENABLE SIN INTO OUR LIVES WHICH LEADS TO SUFFERING,die,N,CA,Personalized
SMKTST 2,,SMOKE TEST,N,CA,Personalized
HOTTNT,HOT TAMMY AND TOMMY,"TNT, WEAPON REFERENCE",N,CA,Personalized
LOCOLOC,MOTOLOCO LOCAL,LOC = GANG REFERENCE,N,CA,Personalized
MFN TACO,MY FIRST NEW TACOMA,TACO,N,CA,Personalized
UF ENG,school,YOU F'ING,N,CA,Personalized
STEAMBX,STEAM BOX,HAS A 2016 TOYOTA P/U. PULLED FOR BOX,N,CA,Personalized
SIG X,SIGMA CHI,SIG SAUER X-SERIES,N,CA,Personalized
FIREFN,FOR SPORTS TEAM,FN COULD STAND FOR FUCKING,N,CA,Personalized
IG 88,FAVORITE STAR WARS DROID,88 HITLER REFERENCE,N,CA,Personalized
MK4VW18,MARK 4 VW 1.8T,"18=hate symbol, HAS VW",N,CA,Personalized
